visitor_id,visit_date,channel,campaign,acquisition_cost,stage_reached,deal_value_usd
109106,2026-03-15,Email,Product Drip Campaign,8,SQL,0
108871,2026-05-24,Email,Newsletter,8,Customer,1837
100033,2026-04-15,Organic Search,SEO - Blog,0,Visitor,0
110427,2026-04-13,Direct,Direct/None,0,Visitor,0
108645,2026-04-11,Email,Newsletter,0,Visitor,0
104504,2026-05-16,Paid Search,Google Ads - Generic,0,Visitor,0
100632,2026-02-28,Organic Search,SEO - Blog,0,Visitor,0
111131,2026-04-07,Direct,Direct/None,0,Lead,0
102386,2026-04-28,Organic Search,SEO - Product Pages,0,Visitor,0
106806,2026-02-07,Social Media,Facebook Ads,0,Visitor,0
105563,2026-05-11,Social Media,Facebook Ads,0,Visitor,0
100537,2026-05-05,Organic Search,SEO - Blog,0,Visitor,0
102555,2026-03-31,Organic Search,SEO - Product Pages,0,Visitor,0
102532,2026-04-14,Organic Search,SEO - Product Pages,0,Visitor,0
102479,2026-03-04,Organic Search,SEO - Blog,0,Visitor,0
103347,2026-05-14,Paid Search,Google Ads - Generic,48,Lead,0
111175,2026-05-21,Direct,Unknown / Untagged,0,Visitor,0
111710,2026-05-26,Direct,Direct/None,0,MQL,0
104612,2026-04-16,Paid Search,Google Ads - Generic,0,Visitor,0
100589,2026-06-06,Organic Search,SEO - Blog,0,Visitor,0
102370,2026-05-25,Organic Search,SEO - Product Pages,0,Visitor,0
110221,2026-04-20,Direct,Direct/None,0,Visitor,0
106156,2026-04-27,Social Media,Instagram Ads,0,Visitor,0
102018,2026-02-21,Organic Search,SEO - Blog,0,Visitor,0
100695,2026-03-25,Organic Search,SEO - Blog,0,Visitor,0
105377,2026-06-05,Social Media,LinkedIn Ads,0,Visitor,0
110377,2026-02-23,Direct,Direct/None,0,Visitor,0
106101,2026-03-03,Social Media,LinkedIn Ads,35,SQL,0
108383,2026-05-18,Email,Product Drip Campaign,8,SQL,0
110206,2026-04-07,Direct,Direct/None,0,Visitor,0
109859,2026-03-19,Referral,Customer Referral Program,0,Visitor,0
102588,2026-05-25,Organic Search,SEO - Blog,0,Visitor,0
106891,2026-05-08,Social Media,Facebook Ads,0,Visitor,0
103040,2026-05-19,Paid Search,Google Ads - Brand,0,Visitor,0
100800,2026-05-15,Organic Search,SEO - Blog,0,Visitor,0
107060,2026-06-14,Social Media,Facebook Ads,0,Visitor,0
110009,2026-05-05,Referral,Customer Referral Program,0,Visitor,0
106239,2026-04-09,Social Media,Facebook Ads,0,Visitor,0
100624,2026-02-08,Organic Search,SEO - Product Pages,0,Visitor,0
109046,2026-05-14,Email,Newsletter,8,SQL,0
109772,2026-03-20,Referral,Customer Referral Program,0,Visitor,0
100176,2026-03-17,Organic Search,SEO - Blog,0,Visitor,0
107621,2026-05-03,Social Media,Facebook Ads,0,Visitor,0
